,,,,,,,,,,,,,,,,,
1,Name of kriya,,Steps,step 1,step 2,step 3,step 4,step 5,step 6,step 7,step 8,step 9,step 10,step 11,step 12,,
30,CREATING LEDERSHIP CONSCIOUSNESS II,,"1. PADMASANA
2. NAADHA KUMBHAKA
3. TRINETRA KUMBHAKA
4.TRISHOOLA KUMBHAKA","1. PADMASANA
1. Place the right foot on the left thigh 
2. Now place the left foot on the right thigh
3. Cross the hands behind the back and firmly catch hold of the great toes of the feet so crossed
4. Place the chin on the chest and fix the gaze on the tip of the nose (this posture is called the 
Padmaasanam (or lotus posture). This posture destroys all diseases)
5. Settle in this posture for 30 seconds
149
IN PADMA ASANA , NEXT","2. NAADA KUMBHAKA
1. Sit in the same posture
2. Now chant the sacred sound “OM” slowly in a low tone
3. Elongate the chant as much as possible
4. Feel the sound produced from the navel and travelling through the heart, throat and brow 
centers and reaching the crown of your head.
5. Exhale slowly with Omkara
6. Do this 21 times.
IN PADMA ASANA , NEXT","3.TRINETRA KUMBHAKA
1. Inhale through the left nostril
150
2. Hold the breath as long as you can judiciously
3. Without exhalation, inhale through the right nostril
4. Hold the breath as long as you can judiciously
5. Again without exhaling, inhale through both the nostrils
6. Hold the breath as long as you can judiciously
7. Now exhale through both the nostrils slowly 
8. Do this 21 times","4. TRISHOOLA KUMBHAKA
1. Inhale through the nostrils and also through the mouth simultaneously
2. Hold the breath as long as you can judiciously
3. Now exhale through the nostrils slowly and relax
4. Do this 21 times",,,,,,,,,,
31,Care For Dandruff,,"1. DURVAASA ASANA
2. SHEETHALEE KUMBHAKA
3. SEETHKAAREE PRAANAAYAAMA
4. BHASTRIKAA","1. DURVAASA ASANA
1. Stay on the floor 
2. Bend your right knee and place the right leg on the left side hip
3. Bend the left knee and place the left foot on the above the right thigh so that the left foot is 
placed near the right side hip
4. Touch the right hand finger tips with the middle joints of left fingers
5. Place the hands on the genitals
6. Fix the gaze at the eye brow center 
7. Remain in this position for 30 seconds
IN DURVAASA ASANA, NEXT","2. SHEETHALEE KUMBHAKA
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 minutes
IN DURVAASA ASANA, NEXT","3. SEETHKAAREE PRAANAAYAAMA 
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this for 7 minutes
IN DURVAASA ASANA, NEXT","4. BHASTRIKAA KUMBHAKA
1. Rapidly inhale and exhale like the bellows of the black smith until you become fatigued
2. Then inhale through the right nostril
3. Press the chin on the chest so that the throat is locked
4. Hold the breath as long as you can judiciously
5. Relax the chin and exhale through left nostril
6. Do this for 7 minutes",,,,,,,,,,
32,Cure For Dandruff,,"1. MATSYA ASANA
2. SHEETHALEE KUMBHAKA
3. SEETHKAAREE PRAANAAYAAMA
4. BHASTRIKAA","1. MATSYA ASANA
1. Place the right foot on the left thigh
2. Now place the left foot on the right thigh
3. Now lie down on your back
4. Cling on to your head with your elbows
5. Stay in this position 30 seconds","2. SHEETHALEE KUMBHAKA
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 minutes
IN DURVAASA ASANA, NEXT","3. SEETHKAAREE PRAANAAYAAMA 
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this for 7 minutes
IN DURVAASA ASANA, NEXT","4. BHASTRIKAA KUMBHAKA
1. Rapidly inhale and exhale like the bellows of the black smith until you become fatigued
2. Then inhale through the right nostril
3. Press the chin on the chest so that the throat is locked
4. Hold the breath as long as you can judiciously
5. Relax the chin and exhale through left nostril
6. Do this for 7 minutes",,,,,,,,,,
33,Care For Depression,,"PRANA MUDRA
1. Sit on Padma Asana (Lotus Pose)
2. Keep your eyes closed and focus on your breath.
3. Keep your hands on your thighs.
4. Touch the tips of your ring finger and little finger to your thumb. The index and middle finger 
should be pointed straight.
5. Feel the life force as it rushes through your body.
6. Stay on this pose for 3 minutes","Step 1
1. Keeping the eyes closed, inhale and exhale as deeply as possible
2. Do this 3 times","Step 2
1. Put the left heel under the perineum and Stay on it
2. Contract the abdominal muscles to expel the maximum amount of air from the lungs
3. Hold the breath outside as long as possible
4. When you can’t hold any more, slowly inhale
5. Do this 11 times","Step 3
1. Release Moola Bandha (you can take your left heel out)
2. Inhale slowly and fill the abdomen and the lungs as much as possible
3. Hold the breath inside as long as possible
4. Then exhale very slowly
5. Do this at least 11 times","Step 4
1. Exhale completely by contracting your abdominal muscles
2. Retain the breath outside as long as you can
3. When you inhale, inhale and fill your lungs and abdominal muscle
4. Hold the breath inside as long as you can
5. Do this 21 times",,,,,,,,,,
34,Cure For Depression,,"1. PADMA ASANA
2. SHEETHALEE KUMBHAKA
3. BHASTRIKAA","1. PADMA ASANA (BADDHA)
1. Place the right foot on the left thigh 
2. Now place the left foot on the right thigh
3. Cross the hands behind the back and firmly catch hold of the great toes of the feet so crossed
4. Place the chin on the chest and fix the gaze on the tip of the nose (this posture is called the 
Padmaasanam(or lotus posture). This posture destroys all diseases)
5. Settle in this posture for 30 seconds","2. SHEETHALEE KUMBHAKA
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 minutes
IN DURVAASA ASANA, NEXT","4. BHASTRIKAA KUMBHAKA
1. Rapidly inhale and exhale like the bellows of the black smith until you become fatigued
2. Then inhale through the right nostril
3. Press the chin on the chest so that the throat is locked
4. Hold the breath as long as you can judiciously
5. Relax the chin and exhale through left nostril
6. Do this for 7 minutes",,,,,,,,,,,
35,Care For Diabetes,,"1. ANIL ASANA
2. UDDEEYAANA BANDHA
3. BHASTRIKAA 
4. MOORCCHANA KUMBHAKA
5. BRAMHAREE KUMBHAKA","1. ANILA ASANA
1. Come to a full squat posture
2. Place both hands on the ground and keep both the elbows joined together at the navel 
3. Arrange the feet on hands which are placed prone 
(Option: If you cannot hold the squat position, you can Sit on the ground)
4. Fix the gaze at the nose
5. Remain in this pose 30 seconds
IN ANILA ASANA, NEXT","2. UDDEEYAANA BANDHA
1. Stay on same asana and Keep the spine straight. Head should be up and eyes open
2. Take a deep breath in and exhale completely, but do not be forceful
3. After exhaling, perform jalandhara bandha by moving the chin down to the chest and raising 
the shoulders
167
4. Pull the abdominal muscles inward so that the organs of the abdomen touch the back 
muscles
5. Hold as long as you can
6. When you can’t hold anymore, Before inhaling, relax the stomach and abdomen, release
 jaalandhara bandha by raising the head
7. Then inhale through the nostrils slowly
8. Before repeating another round, breathe normally for a minute or two
9. Initially start with 3 times and gradually increase upto 10 times","3. BHASTRIKAA KUMBHAKA
1. Rapidly inhale and exhale like the bellows of the black smith until you become fatigued
2. Then inhale through the right nostril
3. Press the chin on the chest so that the throat is locked
4. Hold the breath as long as you can judiciously
5. Relax the chin and exhale through left nostril
6. Do this for 7 minutes","4.MOORCCHANAA KUMBHAKA
1. Sit in same asana and close the eyes
2. Inhale slowly and deeply through both nostrils
3. After inhaling, immediately do Jalandhara Bandha by putting your chin on the chest and 
locking the throat 
4. Hold the breath as long as you can. 
5. When you can't hold anymore, Exhale through both nostrils in a very controlled manner in 
Jaalandhara bandha itself
6. Do this 21 times","5.Brahmari kumbhaka
1. Close your ears with hands and close your eyes and hum intensely.
2. Do this for 7 minutes",,,,,,,,,
36,Cure For Diabetes,,"1. GOMUKHA ASANA
2. UDDEEYAANA BANDHA
3. BHASTRIKAA KUMBHAKA
4. MOORCCHAA KUMBHAKA
5. BHRAAMAREE KUMBHAKA","1. GOMUKHA ASANA
1. Bend the left knee and place the left foot near the right buttock
2. Bend the right knee and place it over the left thigh so that the right foot lies near the left buttock
3. Now place the hands on the respective ankle
4. Raise your head a little
5. Stay on this pose for 30 seconds","2. UDDEEYAANA BANDHA
1. Stay on same asana and Keep the spine straight. Head should be up and eyes open
2. Take a deep breath in and exhale completely, but do not be forceful
3. After exhaling, perform jalandhara bandha by moving the chin down to the chest and raising 
the shoulders
4. Pull the abdominal muscles inward so that the organs of the abdomen touch the back 
muscles
5. Hold as long as you can
173
6. When you can’t hold anymore, Before inhaling, relax the stomach and abdomen, release
 jaalandhara bandha by raising the head
7. Then inhale through the nostrils slowly
8. Before repeating another round, breathe normally for a minute or two
9. Initially start with 3 times and gradually increase upto 10 times
IN GOMUKHA ASANA, NEXT","3. BHASTRIKA
1. Inhale slowly expanding the stomach
2. Exhale slowly
174
3. Do this 21 times
4. After 21 times, now inhale slowly
5. Hold the breath as long as you can 
6. When you feel you can’t hold quickly expel the air with the sound of bellows. At this moment 
the stomach should contract to touch the back
(This is one Bhastrikaa)
7. Do this complete sequence three times","4.MOORCCHANAA KUMBHAKA
1. Sit in same asana and close the eyes
2. Inhale slowly and deeply through both nostrils
3. After inhaling, immediately do Jalandhara Bandha by putting your chin on the chest and 
locking the throat 
4. Hold the breath as long as you can. 
5. When you can't hold anymore, Exhale through both nostrils in a very controlled manner in 
Jaalandhara bandha itself
6. Do this 21 times","5.Brahmari kumbhaka
1. Close your ears with hands and close your eyes and hum intensely.
2. Do this for 7 minutes",,,,,,,,,
37,Care For Digestive Disorders,,"1. PASHCHIMOTTA ASANA
2. NAAGA KUMBHAKA
3. SAMAANA KUMBHAKA
4. TRISHOOLA KUMBHAKA
5. TRINETRA KUMBHAKA
6. KAPAALABHAATI PRAANAAYAAMAA
7. BHASTRIKAA","1. Pashchimotta
1. Sit with the legs stretched, the heels not touching one another. 2. Bend forward 3. Place your forehead on the knees 4. Catch hold of the feet with your hands 5. Remain in this pose 30 seconds IN PASHCHIMOTTA ASANA, NEXT -","2.NAGA KUMBHAKA
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel. 2. Once you are full, immediately contract the throat, place the chin on the chest 3. Hold the breath in this posture as long as possible 4. Then release the lock and exhale slowly from the throat 5. Do this 21 times","3. SAMAANA KUMBHAKA
1. Inhale completely till the navel is filled
2. While inhaling visualize that the prana is spread and held all over the body
3. Hold as long as you can judiciously
4. While you hold, visualize the fire element in your navel region
5. When you can not hold any more, exhale 
6. Do this 21 times.","4. TRISHOOLA KUMBHAKA 
1. Inhale through the nostrils and also through the mouth simultaneously 
2. Hold the breath as long as you can judiciously 
3. Now exhale through the nostrils slowly and relax 
4. Do this 21 times","5.TRINETRA KUMBHAKA
 1. Inhale through the left nostril 150 
2. Hold the breath as long as you can judiciously 
3. Without exhalation, inhale through the right nostril 
4. Hold the breath as long as you can judiciously 
5. Again without exhaling, inhale through both the nostrils
 6. Hold the breath as long as you can judiciously 
7. Now exhale through both the nostrils slowly 
8. Do this 21 times",6.KAPAALABHAATI PRAANAAYAAMAA TRANSLATION-cum-TECHNIQUE 1. Breath out short and fast as you pull your abdomen in and up. 2. Allow the body to inhale by itself 3. Do this 21 times,"BHASTRIKA 
1. Inhale slowly expanding the stomach 
2. Exhale slowly 
3. Do this 21 times 
4. After 21 times, now inhale slowly 
5. Hold the breath as long as you can 
6. When you feel you can’t hold quickly expel the air with the sound of bellows. At this moment the stomach should contract to touch the back (This is one Bhastrikaa) 
7. Do this complete sequence three times",,,,,,,
38,Cure For Digestive Issues,,"STEPS TO BE FOLLOWED
1. PAVANA MUKTHASANA
2. NAAGA KUMBHAKA
3. SAMAANA KUMBHAKA
4. TRISHOOLA KUMBHAKA
5. TRINETRA KUMBHAKA
6. KAPAALABHAATI PRAANAAYAAMAA
7. BHASTRIKAA","4. Pavana Mukthasana 
1. Stay on ground. 
2. Bring two heels close to perineal region. 
3. Keep the knees raised. Hold knees with two hands and press them against the chest. 
4. Remain in this pose for 30 seconds IN PAVANA MUKTHASANA,","2.NAGA KUMBHAKA 
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel. 
2. Once you are full, immediately contract the throat, place the chin on the chest 
3. Hold the breath in this posture as long as possible 
4. Then release the lock and exhale slowly from the throat 
5. Do this 21 times","3. SAMAANA KUMBHAKA
1. Inhale completely till the navel is filled
2. While inhaling visualize that the prana is spread and held all over the body
3. Hold as long as you can judiciously
4. While you hold, visualize the fire element in your navel region
5. When you can not hold any more, exhale 
6. Do this 21 times.","4. TRISHOOLA KUMBHAKA 
1. Inhale through the nostrils and also through the mouth simultaneously 
2. Hold the breath as long as you can judiciously 
3. Now exhale through the nostrils slowly and relax 
4. Do this 21 times","5.TRINETRA KUMBHAKA
 1. Inhale through the left nostril 150 
2. Hold the breath as long as you can judiciously 
3. Without exhalation, inhale through the right nostril 
4. Hold the breath as long as you can judiciously 
5. Again without exhaling, inhale through both the nostrils
 6. Hold the breath as long as you can judiciously 
7. Now exhale through both the nostrils slowly 
8. Do this 21 times",6.KAPAALABHAATI PRAANAAYAAMAA TRANSLATION-cum-TECHNIQUE 1. Breath out short and fast as you pull your abdomen in and up. 2. Allow the body to inhale by itself 3. Do this 21 times,"BHASTRIKA 
1. Inhale slowly expanding the stomach 
2. Exhale slowly 
3. Do this 21 times 
4. After 21 times, now inhale slowly 
5. Hold the breath as long as you can 
6. When you feel you can’t hold quickly expel the air with the sound of bellows. At this moment the stomach should contract to touch the back (This is one Bhastrikaa) 
7. Do this complete sequence three times",,,,,,,
39,CARE FOR ECZEMA,,"Steps to be followed:
VAJRASANA
Samana kumbhaka
Urdvaja kumbhaka
Chandra kumbhaka
Bhaya kumbhaka","1. VAJRA ASANA 
1. With knees, ankles and big toes touching the ground, stand on a kneeling position. 
2. Sit erect with the heels under your buttocks 
3. Erect in this asana 30 second","Samana kumbhaka
1. Inhale completely till the navel is filled
2. While inhaling visualize that the prana is spread and held all over the body
3. Hold as long as you can judiciously
4. While you hold, visualize the fire element in your navel region
5. When you can not hold any more, exhale 
6. Do this 21 times","Urdvaja kumbhaka
1. Inhale and hold the breath as long as you can judiciously
2. As you exhale, visualise the moon at the base of the spine (Muladhara)
3. Repeat 6 more times (one time for each chakra)
4. Each time, when you exhale, visualise moon at the next chakra in this sequence; 
Swadhishtana, Manipuraka, Anahatha, Vishudhi, Ajna and then Sahasrara","Chandra kumbhaka
1. Inhale deeply
2. Hold the breath as long as you can judiciously
3. At the same time perform Mula Bandha– i.e., The practitioner should press with left heel 
between the anus and scrotum. And then contract the anus.
4. Relax when you can not hold any more
5. Do this 21 times","Bhaya kumbhaka
TECHNIQUE
1. Slowly exhale
2. Retain the breath as long as possible outside without any visualization
3. Then slowly relax and inhale
4. Do this 21 times",,,,,,,,,
40,Cure For Eczema,,"1. PADMA ASANA
2. SAMAANA KUMBHAKA
3. URDVAJA KUMBHAKA
4. CHANDRA KUMBHAKA
5. BAHIH KUMBHAKA","1. Place the right foot on the left thigh 
2. Now place the left foot on the right thigh
3. Place the hands between the thighs with the palms facing upwards 
4. Concentrating on the tip of the nose, keep the tongue pressed on the upper teeth
5. Press the chin on your chest, push the air slowly upward
6. Exhale slowly
7. Do this 3 times and release the chin on your chest and tongue pressed on the upper teeth","Samana kumbhaka
1. Inhale completely till the navel is filled
2. While inhaling visualize that the prana is spread and held all over the body
3. Hold as long as you can judiciously
4. While you hold, visualize the fire element in your navel region
5. When you can not hold any more, exhale 
6. Do this 21 times","Urdvaja kumbhaka
1. Inhale and hold the breath as long as you can judiciously
2. As you exhale, visualise the moon at the base of the spine (Muladhara)
3. Repeat 6 more times (one time for each chakra)
4. Each time, when you exhale, visualise moon at the next chakra in this sequence; 
Swadhishtana, Manipuraka, Anahatha, Vishudhi, Ajna and then Sahasrara","Chandra kumbhaka
1. Inhale deeply
2. Hold the breath as long as you can judiciously
3. At the same time perform Mula Bandha– i.e., The practitioner should press with left heel 
between the anus and scrotum. And then contract the anus.
4. Relax when you can not hold any more
5. Do this 21 times","Bhaya kumbhaka
TECHNIQUE
1. Slowly exhale
2. Retain the breath as long as possible outside without any visualization
3. Then slowly relax and inhale
4. Do this 21 times",,,,,,,,,
41,Care For Epilepsy,,"1. SURYA NAMASKARA 
2. BREATH WATCHING","1. SURYA NAMASKARA
INSRTUCTIONS
1. Come to stand in Tadasana, i.e., stand firmly on both the feet with the hands in a prayer 
position at the heart
2. Inhale - Bring the arms out to the sides and up to Urdhva Hastasana
3. Exhale - Swan dive down, hinging at the hips, bringing the palms flat on either side of your feet 
to Uttanasana
4. Inhale - Bring the LEFT foot to the back of the mat, come up on to the finger tips into a low 
lunge
5. Exhale - Bring the Right foot back to meet the right foot coming into Downward Facing Dog 
position
6. RETAIN THE BREATH - Drop to your knees, chest and chin on the floor
7. Inhale - Come forward to a low Cobra pose raising your head slightly
8. Exhale - Come Back to Downward Facing Dog position
9. Inhale -Bring the left foot next to the left hand into low lunge
10. Exhale - Bring the right foot forward next to the left and forward bend into Uttanasana(3rd step)
11. Inhale - Bring the arms out to the sides and up, reversing the swan dive to Urdhva Hastasana
(2nd step)
12. Exhale - Come to stand in Tadasana with the hands in a prayer position at the heart(1st step)
Repeat the entire sequence with the interchanging of legs;Do this as many times as possible (max 
108 times)","2. BREATH WATCHING

Do this for about 7 minutes",,,,,,,,,,,,
42,Cure For Epilepsy,,"1. SURYA NAMASKARA 
2. BREATH WATCHING","1. SURYA NAMASKARA
INSRTUCTIONS
1. Come to stand in Tadasana, i.e., stand firmly on both the feet with the hands in a prayer 
position at the heart
2. Inhale - Bring the arms out to the sides and up to Urdhva Hastasana
3. Exhale - Swan dive down, hinging at the hips, bringing the palms flat on either side of your feet 
to Uttanasana
4. Inhale - Bring the LEFT foot to the back of the mat, come up on to the finger tips into a low 
lunge
5. Exhale - Bring the Right foot back to meet the right foot coming into Downward Facing Dog 
position
6. RETAIN THE BREATH - Drop to your knees, chest and chin on the floor
7. Inhale - Come forward to a low Cobra pose raising your head slightly
8. Exhale - Come Back to Downward Facing Dog position
9. Inhale -Bring the left foot next to the left hand into low lunge
10. Exhale - Bring the right foot forward next to the left and forward bend into Uttanasana(3rd step)
11. Inhale - Bring the arms out to the sides and up, reversing the swan dive to Urdhva Hastasana
(2nd step)
12. Exhale - Come to stand in Tadasana with the hands in a prayer position at the heart(1st step)
Repeat the entire sequence with the interchanging of legs;Do this as many times as possible (max 
108 times)","2. BREATH WATCHING

Do this for about 7 minutes",,,,,,,,,,,,
43,CARE FOR EXCESSIVE SWEATING OF PALMS AND FEET,,"STEPS TO BE FOLLOWED
1. GARUDASANA
2. SHEETHALI KUMBHAKA
3. SEETHKARI KUMBHAKA","1. GARUDAASANA (version 1)
1. Stand straight on the ground
2. Balance yourself and place your left foot at the root of the left thigh
3. Bend a little your right knee
4. Bring the left knee close to the right ankle
5. Fold the hands in prayer position and place it near the chest
6. Settle in this posture for 30 seconds","2. SHEETHALEE KUMBHAKA
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 minutes","3. SEETHKARI KUMBHAKA
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this 21 times",,,,,,,,,,,
44,Cure For Excessive Sweating Of Palms & Feet,,"1. VAJRA ASANA 
2. KEVALEE KUMBHAKA 
3. SHOONYAKA KUMBHAKA 
4. BHOROLIKAA KUMBHAKA","1. VAJRA ASANA 
1. With knees, ankles and big toes touching the ground, stand on a kneeling position.
2. Sit erect with the heels under your buttocks
3. Erect in this asana 30 seconds","2. KEVALEE KUMBHAKA 
1. Inhale through the right nostril along with the internal chanting of the mantra 'sam'
2. Hold as long as you can judiciously
3. While holding the breath, chant internally the mantra 'soham' slowly.
4. Exhale through the left nostril with the internal chanting of the mantra 'ham'
5. Do this 21 times","3. SHOONYAKA KUMBHAKA
1. Exhale completely
2. Hold the breath outside as long as you can
3. Now visualize moon on the crown of your head
4. Visualize nectar oozing out of the moon
5. Mentally suck the nectar
6. When you cant hold the breath outside, slowly inhale
7. Do this 21 times","4. BHOROLIKAA KUMBHAKA
1. Along with the a humming sound inhale completely
2. Without using the fingers to close the nose retain the breath inside as long as you can
3. When you can't hold more, release the breath through the nostrils without humming
4. Repeat this 21 times",,,,,,,,,,
45,Excelling In Sports - Level 1,,"1. PADMA ASANA
2. KAPAALABHAATI PRAANAAYAAMAA
3. LAHARI PRAANAAYAAMAA
4. ANDOLI PRAANAAYAAMAA","1. PADMA ASANA (BADDHA)
1. Place the right foot on the left thigh 
2. Now place the left foot on the right thigh
3. Cross the hands behind the back and firmly catch hold of the great toes of the feet so crossed
4. Place the chin on the chest and fix the gaze on the tip of the nose (this posture is called the 
Padmaasanam(or lotus posture). This posture destroys all diseases)
5. Settle in this posture for 30 seconds","2. KAPAALABHAATI PRAANAAYAAMAA
1. Breath out short and fast as you pull your abdomen in and up. 
2. Allow the body to inhale by itself 
3. Do this 21 times","3. LAHARI PRAANAAYAAMAA

TECHNIQUE
1. Breath in with short inhalation with one nostril
2. Then Breath out with short exhalation with the other nostril 
3. Do this for 3 minutes
IN PADMA ASANA, NEXT","4. ANDOLI PRAANAAYAAMAA
TECHNIQUE
1. As you Breath roll your tongue
2. Breath through your nose and mouth
3. When you feel full close the mouth by rolling the tongue and touching the top of the mouth
4. Slowly exhale through your nose
5. Do this for 7 minutes",,,,,,,,,,
46,Excelling In Sports - Level 2,,"1. DURVAASA ASANA
2. KAPAALABHAATI PRAANAAYAAMAA
3. LAHARI PRAANAAYAAMAA
4. ANDOLI PRAANAAYAAMAA","1. DURVAASA ASANA
1. Stay on the floor 
2. Bend your right knee and place the right leg on the left side hip
3. Bend the left knee and place the left foot on the above the right thigh so that the left foot is 
placed near the right side hip
4. Touch the right hand finger tips with the middle joints of left fingers
5. Place the hands on the genitals
6. Fix the gaze at the eye brow center 
7. Remain in this position for 30 seconds","2. KAPAALABHAATI PRAANAAYAAMAA
1. Breath out short and fast as you pull your abdomen in and up. 
2. Allow the body to inhale by itself 
3. Do this 21 times","3. LAHARI PRAANAAYAAMAA

TECHNIQUE
1. Breath in with short inhalation with one nostril
2. Then Breath out with short exhalation with the other nostril 
3. Do this for 3 minutes
IN PADMA ASANA, NEXT","4. ANDOLI PRAANAAYAAMAA
TECHNIQUE
1. As you Breath roll your tongue
2. Breath through your nose and mouth
3. When you feel full close the mouth by rolling the tongue and touching the top of the mouth
4. Slowly exhale through your nose
5. Do this for 7 minutes",,,,,,,,,,
47,Excelling In Studies - Level I,,"1. VAJRA ASANA
2. NAAGA KUMBHAKA
3. PRAKRITHI KUMBHAKA
4. KOORMA KUMBHAKA
5. KRIKARA KUMBHAKA","1. VAJRA ASANA 
1. With knees, ankles and big toes touching the ground, stand on a kneeling position.
2. Sit erect with the heels under your buttocks
3. Erect in this asana 30 seconds","2.NAGA KUMBHAKA
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel. 2. Once you are full, immediately contract the throat, place the chin on the chest 3. Hold the breath in this posture as long as possible 4. Then release the lock and exhale slowly from the throat 5. Do this 21 times","3. PRAKRITHI KUMBHAKA
1. As you chant the bija mantra “VA” loudly, suck in air quickly.
2. After you are full, hold the breath
3. Then slowly exhale normally
4. Do this 21 times","4. KOORMA KUMBHAKA
1. Continue to be seated in the same asana
2. Fix your sight at one point and stare
3. Do not blink your eyes
4. Do not allow your eye balls to move.
5. Do not move your body.
6. While you stare intensely, automatically the breathing will stop. Hold the breath as long as you 
can. 
7. When you can't hold anymore, relax
8. Then again stare
9. Do this 21 times","5. KRIKARA KUMBHAKA
1. Rub your index finger and ring finger with the thumb as many times as possible",,,,,,,,,
48,Excelling In Studies - Level 2,,"1. PARA ASANA
2. NAAGA KUMBHAKA
3. PRAKRITHI KUMBHAKA
4. KOORMA KUMBHAKA
5. KRIKARA KUMBHAKA","1. PARA ASANA
1. Stretch both the legs opposite to each other with left leg bent back and right leg stretched 
forward
2. Spread the hands also above the legs
3. Erect this posture 30 seconds","2.NAGA KUMBHAKA
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel. 2. Once you are full, immediately contract the throat, place the chin on the chest 3. Hold the breath in this posture as long as possible 4. Then release the lock and exhale slowly from the throat 5. Do this 21 times","3. PRAKRITHI KUMBHAKA
1. As you chant the bija mantra “VA” loudly, suck in air quickly.
2. After you are full, hold the breath
3. Then slowly exhale normally
4. Do this 21 times","4. KOORMA KUMBHAKA
1. Continue to be seated in the same asana
2. Fix your sight at one point and stare
3. Do not blink your eyes
4. Do not allow your eye balls to move.
5. Do not move your body.
6. While you stare intensely, automatically the breathing will stop. Hold the breath as long as you 
can. 
7. When you can't hold anymore, relax
8. Then again stare
9. Do this 21 times","5. KRIKARA KUMBHAKA
1. Rub your index finger and ring finger with the thumb as many times as possible",,,,,,,,,
49,Care For Food Allergies,,"1. VAJRA ASANA
2. SHEETHALEE KUMBHAKA
3. SEETHKAAREE PRAANAAYAAMA
4. SAMAANA KUMBHAKA
5. BHASTRIKAA","1. VAJRA ASANA
1. With knees, ankles and big toes touching the ground, stand on a kneeling position.
2. Sit erect with the heels under your buttocks
3. Erect in this asana 30 seconds","2. SHEETHALEE KUMBHAKA
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 minutes
IN DURVAASA ASANA, NEXT","3. SEETHKAAREE PRAANAAYAAMA 
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this for 7 minutes
IN DURVAASA ASANA, NEXT","4. SAMAANA KUMBHAKA
1. Inhale completely till the navel is filled
2. While inhaling visualize that the prana is spread and held all over the body
3. Hold as long as you can judiciously
4. While you hold, visualize the fire element in your navel region
5. When you can not hold any more, exhale 
6. Do this 21 times","5. BHASTRIKAA 
1. Rapidly inhale and exhale like the bellows of the black smith until you become fatigued
2. Then inhale through the right nostril
3. Press the chin on the chest so that the throat is locked
4. Hold the breath as long as you can judiciously
5. Relax the chin and exhale through left nostril
6. Do this 21 times",,,,,,,,,
